2022-11-25 00:54:36,137 INFO    MainThread:2052 [wandb_setup.py:_flush():68] Configure stats pid to 2052
2022-11-25 00:54:36,138 INFO    MainThread:2052 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Ty Zhang\.config\wandb\settings
2022-11-25 00:54:36,138 INFO    MainThread:2052 [wandb_setup.py:_flush():68] Loading settings from D:\SZD_cgan\SZD_image_generate\wandb\settings
2022-11-25 00:54:36,138 INFO    MainThread:2052 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-25 00:54:36,138 INFO    MainThread:2052 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'D:\\SZD_cgan\\SZD_image_generate\\train.py'}
2022-11-25 00:54:36,140 INFO    MainThread:2052 [wandb_init.py:_log_setup():476] Logging user logs to D:\SZD_cgan\SZD_image_generate\wandb\run-20221125_005436-38uwoohf\logs\debug.log
2022-11-25 00:54:36,140 INFO    MainThread:2052 [wandb_init.py:_log_setup():477] Logging internal logs to D:\SZD_cgan\SZD_image_generate\wandb\run-20221125_005436-38uwoohf\logs\debug-internal.log
2022-11-25 00:54:36,140 INFO    MainThread:2052 [wandb_init.py:init():516] calling init triggers
2022-11-25 00:54:36,140 INFO    MainThread:2052 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-25 00:54:36,140 INFO    MainThread:2052 [wandb_init.py:init():569] starting backend
2022-11-25 00:54:36,140 INFO    MainThread:2052 [wandb_init.py:init():573] setting up manager
2022-11-25 00:54:36,144 INFO    MainThread:2052 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn, using: spawn
2022-11-25 00:54:36,149 INFO    MainThread:2052 [wandb_init.py:init():580] backend started and connected
2022-11-25 00:54:36,150 INFO    MainThread:2052 [wandb_init.py:init():658] updated telemetry
2022-11-25 00:54:36,354 INFO    MainThread:2052 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-25 00:54:37,399 INFO    MainThread:2052 [wandb_run.py:_on_init():2000] communicating current version
2022-11-25 00:54:42,414 INFO    MainThread:2052 [wandb_run.py:_on_init():2004] got version response None
2022-11-25 00:54:42,414 INFO    MainThread:2052 [wandb_init.py:init():728] starting run threads in backend
2022-11-25 01:00:14,017 INFO    MainThread:2052 [wandb_run.py:_console_start():1980] atexit reg
2022-11-25 01:00:14,017 INFO    MainThread:2052 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-25 01:00:14,017 INFO    MainThread:2052 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-25 01:00:14,017 INFO    MainThread:2052 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-25 01:00:14,018 INFO    MainThread:2052 [wandb_init.py:init():765] run started, returning control to user process
2022-11-25 01:00:19,163 WARNING MsgRouterThr:2052 [router.py:message_loop():77] message_loop has been closed
